imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IGOR,M,,,,,,,,,,,,,,2,1,1,,2,1,1,,1,2,,3,1,1,2,4,1,2,3,1,1,1,5,1,1,1,3,5,5,11,6,4,8,5,4,7,5,8,13,10,13,24,24,35,34,26,34,30,42,42,19,23,30,14
MAKSYMILIAN,M,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,,1,,,1,,2,1,1,2,2,3,,4,2,3,1,4,3,1,1,5,,4,2,8,3,4,11,15,18,11,15,18,20,26,25,19,23,23,36,30,22
MACIEJ,M,2,4,5,4,3,10,4,10,8,10,3,6,10,12,6,18,10,6,15,11,26,14,28,23,22,29,42,30,39,46,51,54,58,69,82,65,50,58,59,63,62,63,44,62,51,55,46,52,42,41,41,41,41,52,45,41,43,40,44,54,40,24,28,25,14,22,12
RAFAL,M,,,,,1,1,1,1,2,1,,,,2,,3,3,3,5,7,7,18,23,32,42,96,76,92,88,78,103,86,88,107,127,91,68,69,100,63,67,84,36,43,46,31,33,32,33,27,25,20,17,16,12,13,17,11,11,13,8,10,15,8,7,6,3
MILOSZ,M,,,,,,,,,,1,,1,,,,,1,,,,,1,1,,1,2,,3,1,2,4,1,5,,4,3,,1,6,4,1,1,2,2,4,3,4,2,4,3,4,5,12,6,5,7,7,12,12,17,11,15,14,24,20,14,15
BOHDAN,M,2,,5,1,2,,1,,,,,,,,,,1,,1,,2,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
WOJCIECH,M,28,24,30,34,33,26,33,46,36,40,32,32,31,48,35,40,41,30,38,33,40,46,50,48,41,43,52,51,39,64,53,62,48,34,46,48,35,40,31,36,19,32,26,21,26,21,29,27,37,19,19,16,28,17,14,17,25,20,22,24,42,37,52,55,48,44,32
BARTOSZ,M,1,1,,,,,,,,,,,,2,,2,1,1,1,3,4,2,9,4,13,9,16,16,20,17,20,23,25,28,39,31,36,24,18,30,22,23,29,30,30,25,19,34,28,30,30,16,24,21,28,24,42,43,41,61,38,46,27,17,22,21,14
PAWEL,M,4,5,12,4,9,5,6,12,11,9,8,9,10,17,20,27,29,41,58,42,60,89,73,124,153,139,164,167,198,201,246,208,227,245,215,199,185,178,148,152,129,127,100,94,89,69,70,53,46,47,53,41,30,31,34,39,33,33,35,30,32,16,22,18,13,14,10
EUGENIUSZ,M,28,23,21,22,14,15,12,9,9,4,6,7,5,3,2,2,2,3,1,,2,2,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRZYSZTOF,M,46,55,76,72,91,131,145,169,136,140,164,132,125,128,95,96,108,103,100,100,100,114,120,97,131,88,121,107,96,149,110,108,115,118,101,109,69,71,65,62,49,50,54,58,44,17,41,27,28,30,25,27,21,23,29,25,32,33,26,34,30,37,28,30,30,27,14
