SOUCHAL	Léon Claude Albert
CHAPELLE	Henri André
COUTURAUD	Emile Paul Alexandre
GUIARD	Marcel Marie Philippe
GUILLARD	Robert André
COMAR	Yves Marie Léon Louis
CHAZAL	Félix
COMÉNIE	Léonce Amédée
COQUELLE	Albert Georges Edmond
CÉDULIE	Albert Constant
ESPEUT	André François
BOUVET REINIÈRE	Ernest Félix
GÉNY	Marcel Emile
DOLZY	Jules
DREVELLE	Alexandre Antoine Adolphe
GETTEN	Pierre Louis
DETROYAT	Henri Maurice
DERREY	Pierre
GABRIEL	Aristide
COISSARD	Henri Louis
COULOND	Béatrix
DESIGNOLLE	Pauline
COURTEVILLE	Raymond Paul
CERVONI	Louis Jean Baptiste
CARDINAL	Paul Jules Claude
CARNOT	Jean Paulin Hippolyte
CARTIER	Jean Joseph
DELAJOUX	Henri René
DELATOUR	Edmond Marie Pierre
DELAUNAY	Jules Edouard
DELAUNE	Jacques Louis Roger
ESCHER-DESRIVIÈRES	Jean Alfred
ESSELIN	Marcel Eugène
FAVEAU	Victor
FAVEREAU	Lucien
FERRAND	René Georges Alfred
DELASALLE	Louis Marie François
CUAU	Charles Ernest
CARTERON	Marie Eugène Paul
CASTET	Jean Désiré
LEGENDRE	Eugène Celestin Augustin
LEBLOND	Fanny Mélanie Herminie
LÉDÉ	Fernand Albert Joseph Georges
DAVID	Marcel Pierre
MONOD	Raoul Jean
MOINIER	André Nicolas Joseph
MOGENIER	Henri Louis Albert
MIÈGE	Emile
LEMAIRE	Achille René
LE PILEUR	Jacques Marie Auguste
LEFOULON	Rodolphe
LEFORT	Ernest Marie Alix
BUSSON	Marcel Alphonse Marie
CARMOUCHE	Lucien Maurice
CAROL	Henri Victor François
SCHWARZ	Edouard
SCHNEIDER	René Fernand
SCHMITT	Louis Eugène
SONNET	Lucien Alfred
SINCHOLLE	Lucien Henri
SEYNES DE	Jean Pierre Philippe
PETIT	Louise Madeleine Sophie
JULLIARD	Hélène Gisèle
LABAT	Henri Léon Joseph Achille
LABBÉ	Henriette Marie Elisabeth
WEBER	Roger Louis Eugène
WEBER	Georges Michel Léon
WALL	Gilbert Claude
REGNER	Jean Daniel Louis
REGAZZI	Pierre Emile Dominique
REBOUL	Paul Ulysse Léonce
RAVERAT	Georges Louis
RAULIN	Arthur Albert
RAUGEL	Edouard Pierre
MATHURE	Edmond
DAMEL	Gaston Louis Gustave
DAUVIN	Louis Jean Anatole
BOUYGUE	René Pierre
BRUTIAU	René Paul Justin
BUFFET	Adrien Félix
SEDILLON	Robert Lucien Jules
SCHULHOF	Paul Samuel
SCHNEIDER	André Adolphe Georges
SCELLIER	André Adrien Albert
SARRAUT	Omer Louis Maurice
SAINT-VINCENT	René Marcel
ROUX	André François Marie Justin
ROUSSEL	Yvonne Marie
ROUSSEAU	Pierre Louis Robert
LANDAU	Robert
LANGLARD DE	André Marius Alexis
LANGLOIS	Maurice René
BOUVET-RENIÈRE	Ernest Félix
LANTIEZ	Alexandre Ernest Augustin
LAPORTE	Antoine Pierre Florentin
LARGILLIER	René François Marie
ROPER	Albert Jean François
RICAUME	Fernand Lucien
RONCHETTI	André
ROLET	Roger Alfred Philogène
BONIS-CHARANCLE	Jacques Paul Louis
BOURIÈRES	André Pierre
RAFFEGEAU	Pierre Charles
RAFELIS DE SAINT-SAUVEUR DE	Armand Eugène Guillaume Etienne Marie
SCHNEIDER	Antoinette Marie Edmonde
RACARY	Henri Auguste
BES DE BERC	Hervé Emmanuel Marie
FROMET	Marcel Henri Gaston
HENNEQUIN	Georges Montaigne Jules Marie
BERTRAND	Joseph Louis Lucien
BOSSU	Charles Nestor
LEFEBURE	Michel Valentin Léon
SOULHOL	Jean Claude René
BONNET	Raymond Marcel
MARTIN	Georges Noël
MARTINET	André Georges Pierre
MAYER	Jean Bernard
MILLE	Paul Louis Marie
MANGE	Marie Michel
MANDOUCE	Jean Marius Julien
LUCAS	Roger Henri Jules
PINTAUX	Eugène
MAUVAIS	Georges
MAINGUET	Robert Alfred Adolphe
ABOILARD	Marcel
AUBÉ	Jean Louis Frédéric
ABOVILLE D'	Pierre Augustin Marie Gaston
PAPOUIN	Georges Gaston Louis
VIDAL	Ernest Etienne
VICENTE	Manuel Fernand
VERRAUX	Henri
VACHEL	Maurice
TOULOUSE	Arthur
BELZACQ	Paul Pierre Alexandre
CITRON	Pierre André
STOCKER	Charles Marie
BOISSON	Robert Edmond Joseph
COÈDES	Georges
PIOGER	Raymond Auguste
PINAULT	Marcel Auguste Hippolyte
PICOT-FAGARD	Maurice Armand
PEZON	Laurent Pierre Isidore
TURAGLIO	Georges Pierre Jean
TRÉBUCQ	André
THAURY	Albert Charles
TROUILLARD	Charles Louis René Victor
PALISSE	Georges
GEISSMANN	Robert Nathan
GAZEAU	Claude Benoit Emile Ernest François
POLTI	Maurice Paul Cyprien Fernand
PLISSON	Félix François
SPINOSA-CATTELA	Alfred
SPEYMANN	Emile Marcel
BAROY	Anselme Félix
BARET	Richard Paul Louis Antoine
BALLEYGUIER	Henri Fernand Marie
BAILLY	Edouard Anselme
THIEMPONT	Gabriel
TÉZENAS DU MONTCEL	René François
TÉTARD	Alexandre
TELLIER	René
TAMISIER	Marcel André
TAMALET	Georges Pierre François
SWAGEMAKERS	Jules Marcel
SUEUR	Jean
COILLIETTE	Maurice Jules
ACHARD-JAMES	André Charles Marie Pierre
WORMSER	Julie
REBICHON	André Louis
TALBOT	Jean Maurice
WOLFERS	Fred
TRAIN	Pierre Jean Marie
CHAPOTIN	Maurice Léon
CHAMPALLE	Jean Emile
CHAMP	Pierre
ROUFFIE	Etienne Marcel
ROSENMARK	Pierre
STEPHAN	Pierre
SPITZER	Olga
CROIX	Paul Louis Auguste
CAHEN-STRAUSS	André Alfred Lucien
CAMBOURNAC	Philippe Emile
CANNARD	Jean Maurice
SAROT	Marius René
SANSON	Jean Maurice Marie
SAINT-RAYMOND	René Paul Robert Fernand
SACKEPEY	Charles Léon
PORTE	Joseph Henri
PINGET	Robert Charles Léon
PINEAU	Jean Marc
CADIOT	Albert Henri Eugène Hippolyte
REY	René Félix Paul
RENDU	Jacques Marie Ambroise
PEYRONNET	Jean Daniel
BOUTET	Marcel Adolphe Antoine
BOY	Germaine Yvonne Suzanne
RAUX	Raymond Camille André
RAVERDY	Albert Paul Félix
RAVINA	Jean Marie Georges
MAUBERT	Raymond Paul
MATHOT	Jacques André
PICARD DESTELAN	Henri Ernest Marie Félix
PICHARD	René Maurice
LEFEBVRE DE LABOULAYE	Hubert Jean René
LEFEBVRE	Maxime Alexandre Léon
MONNET	Lucien François Adrien
MONFORT	Roger Marcel
MOISSAC-MAYER-DALMBERT DE	Georges Pierre
VORMS	Adolphe
LEMERCIER	Phimoléon Louis
LAGUIN	Lucien Antoine
LAFORCADE DE	Hubert Jean Marie François
BONET	Paul Joseph Ghislain
BOUCHER	Pierre
BONNEVAL DE	Rosalie Marguerite Charlotte
NAVARRE	Edouard Henri
NARET	Maurice Victor Gustave
LAMBERT DE FRONDEVILLE	Henri Marie Frédéric Augustin
LAMARTHE	Alfred Emile Edouard
BOUÉ	Charles René
BOSSEBOEUF	Georges Marie Frédéric Auguste
BERTIN	Maurice
BELLET	René Eugène Léon
BLACHE	Henri Eugène
BISSON	Jacques Albert
BISSON	René Louis Jean
BLACHE	Marcel Ferdinand
BLOCH	Roger Julien
PANOUSE	Jean Bertrand
PARTURIER	Robert Eugène Léopold
PASSERAT	Maxime Gontran
DOREAU	Louis Jean Baptiste Alphonse
DREYFUS	Louis Abel
DREYFUSS	Marcel André
PLANCHE	Marcel Gaston
MORIN	Jean-Marie Maurice Pierre
BARATOUX	René Félix
BACHELET	Henri Albert
BABULE	Antoine
PAYELLE	Raymond Gérard
PASQUIER	Auguste Léon
PARIS	Paul Louis Pierre
PARANT	Raymond Jean Léon
MENEAU	Georges Albert Henri
MEYER	Georges Séverin Joseph
DELARUE	André Jules Léon
MOULIN	Auguste Désiré
JORON	Rodolphe Frédéric
JAMET	Marie Jules Robert
JACQ	François
ITHIER	André
KREBS	Edouard Christian Théodore
KRAFF	Félix François
DELÉPINE	René
FAGES	Georges Pierre
GUIBÉ	Henri Joseph
SUBES	Raymond Henri
SZESZLER	Léopold
TESTE	Marcel Auguste Francis
GUÉRIN	Louis
DUMENIL	André Auguste Louis
DIÉTRICH	Paul Emmanuel
MILLET	Jean Marcel
VALADE	Lucien Louis Francisque
SOUCHON	Lucien Gabriel
SIMOULIN	René Philippe
SOYER	André Alexis
TAIGNY	Charles Joseph
TSCHERNIAKOWSKY	Nicolle Rika Geneviève
MÉNARD	Paul Alcide
ROUIN	Louis Charles
MARTIN	Charles Octave Gustave
MARTIN SAINT-LAURENT	André
DUBREUIL	Paul
ANFRIE	Jacques Jean Joseph
HAUSSONVILLE D'	Mathilde Marie Bernardine
DOUEL	Jean
PICCIONI	Jean Marie Vincent
LAFONTAINE	Etienne René
GOUVERNEUR	Maurice Eugène
HÉROLD	Frédéric
HENTSCH	Conrad Edouard Rodolphe
DARDE	Fernand Louis
REICHENBACH	Marcel Marie
REYDET	Paul Edmond
DEBRAY	Marcel
HUC	Joseph Paul
PUAUX	Ernest Paul Gabriel
GONSSARD	Eugène
GOLSE	Georges Jean Marie
GIROS	François Emile Auguste Alexandre
GIRARD	Guy Jean Eugène
GILAUTON	Marcel Jules
GIEULES	Jules Maurice Robert
LORIN	Pierre Michel Armand François
MALECOT	Maurice Eugène Achille
LEMOINNE	Paul Auguste
METZLÉ	Jean Emile André
LE ROY	Alexandre
L'HERMITTE	Etienne Henri
LÖHLY	Rémy
LE CALONEC	Jean Marie Joseph
LEGENDRE	Georges Aimé Eugène
LELIÈVRE	André Alfred Célestin Jean
LÉVY	Georges
LEPETRE	Léon Albert
LÉVRIER	Marcel Emile Georges
LEMOINE	Henri Jean
DECHAUME	Henri
WEISKOPF	Joseph
LEBRUN	Marcel Charles
DORGUEIL	Henri Louis
DIRICQ	Joseph Auguste
DIGOINE DU PALAIS DE	Raymond Louis
DEVILLETTE	Marcel Léon Emile
DUHAMEL	Lucien
DUGUÉ MAC CARTHY	Daniel
DU BUIT	Charles Jean Paul
DUBOIS	Jean Paul
DUBARRY	Raymond Marie
DEMOUGEOT	Gaston Georges Alexandre
DELORME	Jean Marie Paul
DELIVRE	Jean Julien Emile
DELÊTRE	René Louis
DAUVERGNE	Maurice Julien
DAUGER	Georges Marie Vincent
CAZALET	René Aimé Antoine Etienne
CHATELLIER	Jean Marie Marc Anne
CHAPEYROU	Jean
CHARVIER	Paul Noël Marie
CHALON	Paul Adolphe Elisée
GAZAN	André Marie Frédéric
CHAVANE DE DALMASSY	Claude Marie Pierre Alfred
PONCE	Pierre Charles
CANESSE	Roland Henri François
CAPLAIN	Joseph Edouard Georges
CASTELLANI	Jean Pascal Dominique François
PERRET	Jacques Marie
PERRET	Fernand
PENIN	Maurice André Joseph
PELTIER	Maurice
PELLERIN	Jean Victor Auguste
LAFON	Georges Albert
LACAU	Bernard Pierre Marie
COUSIN	Francis Edmond Joseph
COUTURIER	Raoul Léon
CRON	Alfred Louis
CUÉNOT	Yves
VIRAUT	Joseph Lucien
VERGNE	Maurice
VERGEOT	Jean Baptiste Alphonse
VERDIER	Constant Gustave Eugène
VELTER	Lucien Célestin Emile
VASSILIADIS	Jean Albert
AZAMBUJA D'	Henri Lucien
VALLAUD	Charles Arsène Alfred
VAILLANT	Gaston Alfred
VALROGER DE	Charles Ernest Robert
VERWAEST	Jean Gabriel
VIEILLARD	Henri Sébastien
VIGNES	Victor André Jean
BERGOUNHON	Jean Antoine
SIMON	Henri
SILBERBERG	Marcel Léopold
DUGUET	Paul Charles
DUGRENOT	Jean Henri
DUCUING	Emile André
DUCHARD	Henri Maurice
BARTHE	Marcel Jacques Victor
BERNAUX	Emile Benjamin
BERNARD	Henri Marcel
BÉNARD	Pierre Paul Marcel
RIDEL	Fernand
RICHEZ	Fernand Georges Emile Henri
RICHARDOT	Marcel Victor Louis
REBUFAT	Jean Fernand Marie
CHOUARD	Robert Frédéric Raymond
CHOTEL	Roger Jean Edmond
PUJALET PLAA	Pierre Marie René
CHEVALIER	Louis Guillaume
CHESNEL	Paul Jean Auguste
CHERRIER	André Jean Eugène
CHAVANE DE DALMASSY	Claude Marie Pierre Alfred
CHAVANE	Bernard Louis
PIROT	Joseph Léon
POPLIN	Gustave
PONCY	René Baptiste
PONCE	Pierre Charles
POITEVIN	Jean Charles Paul
POIROT	Adrien Henri
PANO	Robert Pierre
MOUREAU	Frédéric Jules Jacques
MOUCHOT	André Léon Auguste
MONTIGNY	Pierre Georges
MONTARIOL	Maurice Paul Georges
MONTAGNÉ	Marcel Louis Joseph
BOREL	Charles Alexandre Jacques
BELLANGER	Eugène Fernand
BULTEL	Marcel Henri Eugène
CAIX DE SAINT-AYMOUR DE	Robert Louis Ernest Marie
CANTE	Louis
CART	Adrien Ernest
ANSELME	Alfred Louis
LA ROCHEFOUCAULT DE LIANCOURT DE MARSILLAC D'ANVILLE DE	Jean François Marie
LANSADE	André Gérôme Henri Léon
LEVY	Willy Julien
LEVY	Lucien Alexandre
MARIGNAC	Antonin
MARÉCHAL	Adrien
CLEMENT	Paule Marie Antoinette
LEMONNIER	Robert Paul Joseph
LÉNOTTE	Jacques Georges
LEPAGE	Albert Auguste Charles
LEROY	Lucien Henri
LESAGE	Jean Emile
LA BERAUDIÈRE DE	Jacques Jean
LACARRIÈRE	Théodore Raphaël Robert
KRUMMEICH	Edmond Alexandre
LAISSY	Paul Jean Baptiste
LE VAILLANT DU DOUËT DE GRAVILLE	Gaston
ANDRÉ	Maurice
CHARLES	Raoul
KIRSCH	Jean
KNALL-DEMARS	Ivan
LESTANG	André Julien Léonard
LAMPERIERRE	André Louis Octave
LAMBERT	Marcel
WARIN	Louis
VINCEY	Jean
HENRY	Maurice Jean Marie
HÉNON	Léon
HEGER	Jean Alphonse
HAAS DE	Jean Emmanuel
HACA	François Louis Marie Victor
HUGON	Georges Félix
HILLERET	René Maurice
HUGOT	Georges Gaston
HAMELIN	Georges Marcel
GRENOUILLON	Georges Esperat
GRÉGOIRE	Marcel Paul Louis
HOTTINGUER	Philippe Rodolphe Maurice
CHARPENTIER	Henri
CHALAMET	Frédéric Paul Henri
CHALVET	Marcel Jacques Albert
COUTET	Alfred
CHAUDRON	Jacques Auguste
HERSENT	Gilbert Christian
GERVAIS	Georges Louis Antoine
DUFOURCQ DE	Joseph Edmond
GABORIT DE MONTJOU	Jean Marie
GABLAIN	Eugène Ferdinand
DURIEUX	Alain Julien Augustin
DUFOUR	André Marius
DUCLOT	Roger Henri Raymond
DUBY	Marcel Jules
DHÉ	Michel Paul François
DANBON	Marcel Joseph Auguste
DECOIN	Joseph Henri
DENIS	Emile
CORNIAUT	Jean
CORVE	Constant Charles
COSNELLE	Ernest Alphonse
COUTURAT	Jacques Victor
MOYER	Gaston Louis Albert
MOUREAU	Louis Victor
MOLINIER	André Pierre
MORAND	Jacques Marius Paul
MONTOURCY	Louis François
MAIRESSE	Roger Jean Baptiste
NIOX	François Maurice
NOËL	Marius Auguste
MORENAS	René Georges
MORTREUX	Marcel Patrice
ORIOT	Louis Paul
OXENAAR	Jacques Roger Henri
DILLON	Henri Léon
CHADENIER	Lucien
CHARLAIX	Frédéric Constant
CHAUDIÈRES	Louis Adolphe
FÉRIET DE	René Ernest Louis
FAUCHER	Paul
LEPELLEY	Paul Louis Jean Joseph
LERAT D'ALBAS	Louis Maurice
DESFLEURS	Georges Victor
DESOYE	Robert Serge René
LÉVY	Maurice
LÉVY	Robert Alfred
MICHON	Louis Eugène
SCHMIDT	Paul Edmond
SCHERNINSKI	Léon
CAPDEVIELLE	Pierre
CAILLY	Georges Louis
LOBUT	Henri Edouard
LOCHMANN	Charles Paul
SAYER	Paul Auguste Victor
SALMON	André
SAFFREY	Alfred Henri
CHARNAY	Alice Juliette
COLLET	Marie Noële Simone
LE BESNERAIS	Jean Richard
LECLÈRE	Ernest Paul
LAVAURE	Paul Valentin
FORGERON	Jacques Emile Jean
FOUQUES	Pierre
BRESSON	René Albert
BLANCART	Jacques André
BORIE	Pierre Edouard Henri
BOUBILA	Jean Eugène Charles
BIGET	Jean Eugène Henri
BILHEUX	Lucien Eugène Marie
BERTHELOT	Victor Jean
BOURDEU	Louis Ismaël
JEANNE	René Victor Paul Marie
BOULLIER	Louis Marie Charles
BOURDIN	Gaston Albert
BOURDOUX	Georges
BOURGADE	Lucien Jean Georges
SAGAIRE	André Marcel
DAVID	André Auguste
ROEDERER	Joseph Marie Christian Charles
LAPOUZA	Henri Armand Octave
LAPEYRE	Guy
LANDAIS	Raymon Paul
RENAULDON	Jean Clément
DARCISSAC	Eugène Léon Pierre
DAGES	Jean Léon
BRANSWYCK	Eugène Albert
BRINAS	Pierre Mathieu
BREUILLOT	Henri Jules
BREUILH	Albert Louis
ROBYN	Henri
ROBLIN	Léon
RAVEAU	Robert
RAFINESQUE	Félix Louis Marcel
RENHAS	Jacques Marie Joseph Gérard
RENAULT	Jacques Maurice Paul
RENAUD	André Maurice
RENARD	Pierre Henri Gustave
PUIS	Henri
WEIBEL	André
VULPIAN DE	Edmé Henri
VUILLAME	Maurice Jules Simon
JONIOT	Louis Roger
JOSSELIN	Pierre Fernand
SIGOGNE	Jacques Marcel
MALLERON	Maurice François Pierre
MÉDOC	André Louis
MEA	Georges Louis Camille
BERTHEAU	Louis Jules
BEYSSAC	Charles Louis Jean
PUVIS	Jacques Gilbert Gérard
PRON	Fernand Ernest
SOUQUE	Henri Eugène
LAGRANGE	Auguste Camille Henri
BLANC	Claude Henri Jean
SEVESTRE	Edmond Julien
SERNISSI	Emile Raphaël
BILGER	Jacques Maurice
LERAT	Robert Auguste Pierre Eugène
VAUTROT	Charles
PELLET-MICHEL	Henri Louis François
TANON	Louis Jacques
VALLET	Eugène Modeste
LAMBERT	Sigismond
VALLOT	Gabriel Paul René
VERMOREL	André Victor
VIGNAL	Jean
PICON	Rodolphe Albert
BLISNICK	Henri Désiré
BERNARD	Maurice Pierre Camille
BARBIER DE LA SERRE	René Pierre Auguste
ARAMBOURG	Louis Joseph Camille
AUBEL	Gaston Jean
VARÈNE	André Aimé Marius
VALETTE	Georges Victor
BARBIER	Maurice Jean-Baptiste
BARTHÉLÉMY	Achille Henry
BARBA	Ernest Georges Joseph
BARDIN	Georges Roger
BAEYAERT	Emile Henri
BARBOT	Eugène Louis
BARROUX	Luce Maxime Roland
PRESSUROT	Gabriel Eugène
PEDEHONTÂA	Jean Pierre
PATOU	Bernard
PAMART	Solange Marie
TROJANI	Paul
TRIOLET	Jean Marie Marcel
TRELET	Eugène Nicolas Ferdinand
BAUDET	Pierre Emile
BASTÉ	Gustave
TOURNIER	Robert Eugène
TIHY	Pierre Dominique
ARNAUT	Marcel Maurice
ARNAUD	Blaise Jean Antoine
ARGER	Gabriel Etienne
APPEL	Georges Joseph
ANTHOINE	Emile
DRIANT	Camille Théophile
MARTIN-BORRET	Louis Victor
GARNIER	Paul Louis Félix
FLURY	Xavier Marie Antoine
REBULET	Louis Eucher Roger
LEFEVRE	Marcel Emile
LE DREAN	Yves Eugène
LEBEAU	Isidore Gabriel
LAMBERT	René Marie Edmond Edouard
CARRIÉ	Paul Justin
VACELET	Lucien Jules Charles
SANTINI	Lucien Charles Jean François Edouard
CARPENTIER	Frédéric Marcel
POMEY	Jacques Jules
RONDEAU	Albert Henri
ROUSSEAU	François Jean Max
ROBERT DE LÉZARDIÈRE	Raoul Charles
CAVELIER	Marcel Médard Victor
PICOD	Stéphane Eugène Marcel
PIERSON	Auguste Alfred
RÉGEREAU	Albert René Auguste
RATHEAU	Roger Charles Octave
PROLY	Gaston
POURTALÈS DE	Edmond Elie Paul
POUSSIER	Georges
PLANHARD	Eugène Marius
PLATEAU	Robert Clément
POINCIGNON	Robert Lucien
LEGUEULT	Raymond Jean
LEGRAND	Jacques Louis Auguste Gaston
LEGENDRE	Jacques Pierre Bernard
BARROIS	Robert
BARRIER	René Henri Eugène
BARRERE	Raymond Gilbert Alexandre
BAROUX	Maurice Jean André Jules
BARATTE	Jean
ORBICHON	Paul
BÉZARD	Albert Guillaume Robert
BASSET	Maxime Eugène
BURDIN	Paul René Henry
BOURGET	Louis Marie
BOURGEON	Félix
BOURDEL	Jean
NORMAND	Edouard Charles
MYON	Raymond Henri
BOUCHER	Gaston Georges Antoine
BOUCHET	Abel Lucien
BONNET	Elie Gaspard
WHITECHURCH	Philip Antoine Charles
PERRIN	Louis Marcel
BEZU	Louis Marie Emile
CORDIER	Raymond Henri
DELISLE	Jean Alfred Valentin
JALUZOT	Philippe Auguste Maxime
BANGERTER	Emile Albert
BACLOT	Henri Alexandre
ARQUET	Edouard Maurice
ARTHAUD	Henri Emile
AUBERT	Jean André
ARNAUD	Léon Louis
ANDRÉ	Marie Joseph Pierre
BAZILLE	Paul Octave Emile
BATEAU	André Adolphe
JOYEUX	Adrien Louis Marcel
DELAROUZÉE	Gaston André
DEBURCHGRAVE	Eugène Ferdinand Jean Baptiste
DAUPHIN	Pierre Rémy Benjamin
MOUCHOT	Georges Léon Philippe
PAIN	Léon Eugène Paul
PAILLARD	Louis
VOLVEY	Jean Gabriel Paul Michel
VUILLEAUME	André Léon Paul
WACH	Maurice Albert
ZIMMERN	Claude
DEVOUASSOUD	Emile Joseph Julien
MOUTEREAU	François
ROUSIERS DE	Lucien Charles Jean
VERGNIOLLE	Robert
VANDEVENTER	Henri Alfred Louis
WERNERT	Henri
WEHRLIN	Max Edouard
VIZIOZ	Pierre Georges Henri
WEILL	Flora
FEY	Isaïe Joseph Henri
CHAUFOUR	Pierre Armand Félix
DERVAUX	Raymond Ernest Charles
SERS	Joseph Pierre Louis
DURET	Pierre François Eugène
DUPUIS	Jacques Lucien Louis Marie
SIGMUND	Léopold Alfred
GUEGUEN	Lucien Désiré
MIGNOT	Charles Maurice
MAURIN	Léon Elie
MAY	Jacques Ernest
SCHVARTZ	André Camille Antoine
SCHROEDER	André
SANSON DE SANSAL	Henri Philippe Arthur
SAINT BLANCAT	Emilie Joséphine
SAIMOND	Fernand
CHEVALIER	Georges Alexandre Jacques
REYMOND	Charles Henri Maxime
REINMANN	Pierre Charles Louis
ROBIN DE BARBENTANE DE	Louis Marie Roland
DEBESSAC	André Louis Maurice
DESCHAMPS	Claude Noël
GODIN	Jacques Marie Maurice
GONSE	Suzanne
CHRISTOFLOUR	Raymond Pierre
PONIATOWSKI	Stanislas Auguste Charles Adolphe Hubert Guillaume
PONTRÉ	Alfred
HELLSTERN	Eugenie Marie
PULICANI	Barthélémy Jean Joseph
PERTUS	Pierre Marcel
PIEYRE	Jacques Maurice Edmond
GIRARD	Claude François Marie
GERMAIN	Eugène Louis
GARSAUX	Paul Albert Victor
FRISSON	Maurice Octave
MARECHAL	Emile Gustave
GÉRENTE	Henri Louis
LEFEUVRE	René
LEMAI	René
LEDREUX	Victor Pierre Marie
HUMBERT	Louis Maxime André
HOUCHARD	Georges Léon
HEURTAUT	Gabriel Alfred Camille
HESPEL	Henri Richard Félix
HERTIG	René Louis
HAMOT	Maxime Armand
BOULAY	Jacques Paul Gabriel
CORBIN	André Charles
BOUËT	Gustave Paul
BOUFFANAIS	Pierre Paul
DUPONT	Emile Louis
DURAND	Louis Claude Hilaire
GALLET	Toussaint Joseph Dominique
FRÉDÉRIX	Pierre Marie Alphonse
FONSÈQUE	Aaron Désir Jacques
GAUTIER	Marcel Joseph Pierre Gustave
GAUMONT	Raymond
DEHOUVE	Anatole Gustave
DEGLOS	Max Henri
DEBRAY	Charles Louis
LA ROCHEFOUCAULD DE	Sosthène François Marie Constantin
LAJOTTE	Pierre Eugène Louis
KEISSER	Louis Henri Félix
KERGALL	Antoine Albert Marie
LANGEVIN	Marc Etienne Armand
LAMBERT	Albert Alexandre
LAPORTE	Raymond Lucien Martial
LARRIER	Claude Jean Georges
KAHN	Robert Isaac
KALT	Marcel Marie
DUPLESSIS	François
WELTI	Henri Louis
WELLHOFF	Edmond Martin
VORMUS	Bernard André
BRAUN	Henri Jean Marie
AUBY	Lucien
APOSTOL	Alexandre
SYDA	Henri
SUINAT	Jean Jacques
STYGER	Auguste Martin
STEIL	Lucien Albert
SOREL	Raymond Paul Auguste
SOLINHAC	Albert
BANS	François Gabriel Henri
SALOMON	Moïse Maurice
SALMON	Pierre Michel
SANGLE FERRIERE	Xavier Paul Marie
BERTHAUT	Henri François Pierre
BERTHELOT DE BAYE	Renée Guillenette Georgina Marie Antoinette Yolande
BERGANTZ	Albert Louis
BERLING	Roland Marie Jean Emmanuel
BERRET	François Gabriel
BERGERON	Jean Robert Jules
BERNARD	Georges
ULLMANN	André
TURCK	Gilbert Paul
TREMBLAY	Daniel Fernand
TRAVERSE	Eugene Léon
TRAISSARD	François Pierre Marie
DASTUGUE	Marcel Henri Albert
RENOUS	Jean
CHAVANE DE DALMASSY	Claude Marie Pierre Alfred
RENOUS	Jean
REGNAULT	Jean Charles Louis
REDON	Jean Paul
RAFFIN	Marcel Marius Louis
MORAZZANI	Fernand Clément Louis
ROUSSET	Georges Eugène Adolphe
ROUSSEAU	Emile Auguste
ROURE	Adrien Casimir François
ROUFFET	René Alphonse Louis
ROUAN	Robert Marie Maurice
ROTTÉE	Paul Auguste
ROTHSCHILD	Emile Alphonse
PIERRANG	Marcel Gustave
PIERRE	Maurice Félix
PICCIONI	Jean Marie Vincent
NIGAY	Paul Louis Eugène
CHAUSSERIE-LAPREE	Louis
LANTIEZ	Alexandre Ernest Augustin
MENJAUD	Georges Jean
LASSUS	René Pierre Victor
MASSON	Fernand Charles
MASSUÉ	Ernest Emile
PLANUS	Paul Claude Jacques
MARTINET	André Georges Pierre
PELÉ-CLOSIER	Roger Louis François
BOYER	Antoine Henri Gabriel
BRU	Gaston Victor
BLOCH	Marcel
BLIN	Marcel Jules
BLASSIAU	Henri Stanislas
GARDET	Marcel Henri
MAYEUR	Gaston Auguste
MÉTROT	René Lucien
LISLE	Jean Antoine André
LESAINT	Maurice Jean
LETOURNEUR	Georges Pierre Marie
MERLE	Edmond Joseph Louis
MERCIER	Maurice
MERCIER	Léon Henri
MENJAUD	Georges Jean
MENESCLOU	Roger Jean
MENAND	Albert Adolphe
MÉLOT	Henri Fabrice
MICHON	Pierre Marie Félix
MICHON	Georges Joseph Pierre Louis Marie
LESTANG	André Julien Léonard
MEAUX-SAINT-MARC	Jean Albert Jacques
MASSIS	Henri Amédée Félix
MASSE	Robert Daniel Louis
MARTIN	Pierre
MARTIN	Georges Auguste
MARTIN	Ernest Joseph Jules
MANFROY	Théodore
MANE	Henri Auguste Victor
PACQUEMENT	Jean Charles
PACOT	Pierre Louis
LAURENT	Alphonse Frédéric
LAURENT	Paul Georges
LAVILLE	Léon Marcel
LEAU	Ernest Georges
LE CHEVALIER	Jeanne Marie Julie
LAFOREST	Marcel Edouard
LADIRAY	Léon
HEMMERLÉ	Edouard François
HÉDOUIN	Paul
GROSSIN	Marcel
HEUMAN	Georges
GREVIN	Louis Auguste
NONNENMACHER	Michel Romain
NIEDERLENDER	Nicolas Jean Baptiste
NICOT	Charles
NICOLAY	Jean Christophe
NICOLAS-BARRELON	Jean Joseph
NEVEUX	Robert Charles Alexandre
FLANDIN	Maxime Bernard
GENSE	Edouard Eugène
FEVRET	Etienne Jean Charles
LEFÉBURE	Paul Jean
GERMAIN	Pierre André
GERIS	Marcel
GARLOT	René Charles Eugène
GIRARD	Frédéric Achille
GILLON	André
GILLET	Jean Albert
DONDAINE	Louis
DRANCEY	Gaston
DREYFUS LE FOYER	Henri Nathan
GOSSELIN	Jacques Henri
GLORION	Raymond Ernest Léon
FALLEK	Gaston
HORIOT	Paul Robert
GIRAUD	Jean Julien
MOREAU	Henri Prosper
